dataset,x,y
x_shape,37.238249327,83.7249284144
x_shape,36.0271982243,82.0407806505
x_shape,39.2392807768,79.2637238398
x_shape,39.7845249391,82.2605658962
x_shape,35.1660293896,84.1564919839
x_shape,40.622115916,78.5421042089
x_shape,39.181907086,79.8190371976
x_shape,42.4308889944,75.1336346406
x_shape,43.0812558617,75.3467016413
x_shape,44.3607194344,70.4742070546
x_shape,44.3247788435,71.0459044019
x_shape,47.552160202,66.4604037217
x_shape,48.6649246215,64.9610049438
x_shape,46.280631958,68.0284231525
x_shape,50.5632444849,62.6238279659
x_shape,52.6309642318,59.9639357915
x_shape,54.6362064446,57.4938424367
x_shape,51.346027139,61.6005530364
x_shape,57.134855354,53.8779658045
x_shape,54.1712415737,58.0598078952
x_shape,50.9423823071,62.0973939351
x_shape,66.512924456,59.0712818478
x_shape,64.3979095023,56.1748754008
x_shape,68.686593294,62.2373439902
x_shape,65.0277937057,57.0962573525
x_shape,53.3045031712,40.883844549
x_shape,52.9451780881,40.3846256942
x_shape,45.225738199,30.5552259226
x_shape,50.8433046202,37.7446280981
x_shape,49.6592939398,36.273442735
x_shape,47.1427889348,32.0250641734
x_shape,41.2700565259,21.7218171465
x_shape,47.1301271555,31.3099029222
x_shape,40.9159715783,23.5415923929
x_shape,38.6601639737,21.6895496369
x_shape,42.6125508262,24.195053774
x_shape,41.2090395008,24.1287091891
x_shape,50.6492211499,37.4837907435
x_shape,52.1319019406,39.3646020815
x_shape,39.7972712705,16.083549649
x_shape,43.5498814807,24.3072109395
x_shape,36.7146633371,17.3818098572
x_shape,37.2246101278,17.9800644828
x_shape,40.5124478537,22.9622145725
x_shape,40.2220627884,20.6146217044
x_shape,44.1249612057,23.3662452858
x_shape,42.3462616039,24.5583269437
x_shape,44.1890843708,28.772625473
x_shape,45.8142453101,31.056979672
x_shape,46.6431192691,31.4072190618
x_shape,52.1898883047,39.3677964938
x_shape,51.1003173587,38.095699984
x_shape,65.4008341477,42.6140320392
x_shape,64.8520398267,43.1337348404
x_shape,63.4038060118,44.847493688
x_shape,65.3715488709,42.6959713164
x_shape,61.9080397046,53.1903520694
x_shape,71.8266529973,65.6862303604
x_shape,72.6546231621,66.8782776113
x_shape,76.8885781632,72.1654720777
x_shape,43.7446196844,71.2679610751
x_shape,39.0542484428,83.1190207043
x_shape,39.9316746322,79.9391880033
x_shape,39.762826107,76.4059674459
x_shape,41.323383287,80.2118685969
x_shape,41.7873232275,83.9880779935
x_shape,39.7556490651,79.6570966361
x_shape,40.7498793985,77.204657286
x_shape,43.8568984983,77.6098436482
x_shape,42.3678224956,73.6382718294
x_shape,39.4629598364,78.459973898
x_shape,44.5173339492,70.3693498252
x_shape,41.6360929963,76.2492229205
x_shape,45.4229321817,69.0955016709
x_shape,42.0028562742,97.8376147235
x_shape,76.1056290282,95.3049805754
x_shape,79.2025626772,92.4072156264
x_shape,84.8482440854,95.4248045304
x_shape,81.5644753207,83.7929072262
x_shape,85.4461864009,83.0782938448
x_shape,80.3124913784,76.5162389518
x_shape,80.7662322969,79.8960656796
x_shape,82.6701124763,81.711479845
x_shape,77.1636254828,73.5237189623
x_shape,74.0707000309,68.4795642895
x_shape,74.1142308687,71.9263635185
x_shape,68.942075458,62.635150577
x_shape,73.2420023309,67.3532711288
x_shape,71.8670131631,34.3291575887
x_shape,71.5691888532,34.699218607
x_shape,71.4829096934,34.6805169926
x_shape,78.1285220512,23.139231835
x_shape,78.789825254,25.5971933466
x_shape,77.7815467962,23.4472144745
x_shape,48.5306293681,34.1524500077
x_shape,65.5307814724,42.2810847015
x_shape,70.1180341426,36.4481847905
x_shape,70.4722626065,36.0880530553
x_shape,76.7911300701,28.0720081685
x_shape,72.4093545935,33.0392569664
x_shape,76.271299815,25.5695441452
x_shape,76.9532591384,27.7706107405
x_shape,75.1077300904,30.0169834157
x_shape,75.9692852004,29.0388653753
x_shape,75.2838870131,24.8747531721
x_shape,77.0522406385,27.9056390894
x_shape,42.8267563374,25.5569594065
x_shape,42.0806606852,24.9465264454
x_shape,39.8783046498,18.3249292157
x_shape,36.4754991726,17.7189477884
x_shape,37.1030736419,15.4456116477
x_shape,34.1489682077,13.5238698677
x_shape,37.5794219113,15.0158901333
x_shape,41.0643057894,12.2144689321
x_shape,42.195266147,20.9193721857
x_shape,36.6055782383,15.748875885
x_shape,39.4311612098,19.3238407541
x_shape,37.5620763361,11.9284457044
x_shape,34.2381100444,13.7131582305
x_shape,34.1409410386,4.57766135024
x_shape,36.6592676972,17.6819644553
x_shape,40.6437192795,20.2408613716
x_shape,36.7924815919,13.3921347304
x_shape,75.9483006427,22.7447959146
x_shape,76.8406924717,20.9185472197
x_shape,81.9504776395,19.8745582085
x_shape,81.6437056853,16.5917599845
x_shape,84.6102197758,14.2477619017
x_shape,84.1028794336,8.98065579006
x_shape,80.18002545,19.0888441297
x_shape,80.5732729943,8.36563890168
x_shape,79.0043268649,10.6281977654
x_shape,40.0481864651,24.2614879334
x_shape,34.7945935378,13.9696834611
x_shape,79.221764441,22.0945914837
x_shape,36.0308797708,93.1217332374
x_shape,34.4995583102,86.6099850511
x_shape,31.1068665551,89.4616352367
star,58.2136082599,91.881891513
star,58.1960536923,92.2149886482
star,58.7182307185,90.310532087
star,57.27837287,89.9076067166
star,58.082020494,92.0081450101
star,57.4894477748,88.0852855629
star,28.088741319,63.5107944263
star,28.0854682136,63.5901969481
star,28.087273053,63.1232828116
star,27.5780252176,62.8210386566
star,27.7799191139,63.518147517
star,28.5889998149,63.0240805653
star,28.7391414969,62.7208638859
star,27.0246032407,62.9018588649
star,28.8013366963,63.389040388
star,27.186463838,63.5587296478
star,29.2851466002,63.3836058254
star,39.4029453026,51.1508571967
star,28.8113284396,61.3578540576
star,34.3039579069,56.5421259093
star,29.6027609801,60.157346722
star,49.1161568603,63.6600006211
star,39.6175458263,62.9251879574
star,43.23308466,63.1652187223
star,64.8927879422,65.8141767574
star,62.4901493154,74.5842896072
star,68.9880844294,63.232147305
star,62.1056186306,75.9908707599
star,32.4618467439,62.8819029189
star,41.3272006535,49.0702512739
star,44.0071499323,46.4496737846
star,44.0740606888,34.5532038906
star,44.0013152386,33.9042073544
star,45.0063004454,38.2990195507
star,44.4438406096,36.0190833012
star,42.1787133986,26.492119482
star,44.0445656189,35.6622382764
star,41.6404540171,27.0930954213
star,41.9383300069,24.9915229793
star,44.0539275103,33.5563924949
star,39.2067193308,51.5337156971
star,28.7044492315,61.7775254006
star,31.7086628996,58.837754374
star,42.8117114739,30.0204484197
star,43.300614891,31.5264261979
star,40.3986329069,16.3470083822
star,40.4356915763,20.2326706762
star,40.9365466658,16.9130048364
star,39.6615736653,15.609355577
star,40.899259175,20.7985289466
star,41.9686168283,26.4970725985
star,40.3834058238,21.3912255247
star,56.5381264538,32.4442454697
star,52.9706912828,29.0401966941
star,54.6209525885,30.3445244537
star,65.0990443941,27.2415575588
star,63.0559909076,29.7090956748
star,70.9601362323,41.2595012867
star,69.8958192404,43.4537592655
star,70.5958928563,41.9647438672
star,69.6470214273,44.044445022
star,77.392982494,63.3714590552
star,64.4007871926,67.4487184472
star,63.8689598271,70.2137388333
star,56.5944213157,86.9270062202
star,56.5313372853,87.4998110713
star,59.6521583697,87.8094615921
star,56.6365087005,85.637495556
star,58.6722880025,90.077160307
star,58.2216127264,90.4110187715
star,57.9146644768,89.9538027677
star,55.3155090581,80.2518606944
star,54.5757285877,77.5362884724
star,54.4130936504,78.2290865878
star,55.0745059041,79.8175464166
star,29.4329605156,60.8017765444
star,29.4226860665,63.0684648229
star,29.0056141576,63.3907513334
star,58.4618385916,90.2653263904
star,57.997804739,92.1599086113
star,57.5494740761,90.7489065581
star,59.5299284566,88.3272741451
star,58.2493910631,92.1296814778
star,58.0245140126,91.6944211685
star,58.3821244904,90.5534760692
star,62.5667590405,77.7439347591
star,72.1758243064,63.1289294176
star,79.4727615693,63.4086861199
star,80.3577008812,63.2954375404
star,78.7572361375,53.3326200111
star,82.5402395934,56.5410522935
star,86.4358971909,59.7927618087
star,79.4886844186,53.6516742641
star,81.5304203188,56.0253645659
star,79.1867885665,53.2347918468
star,77.8990579454,51.8224583343
star,75.1307142075,23.3724419733
star,76.0580137544,16.3837496882
star,57.6146743876,33.8224476502
star,56.1713975295,32.1179887719
star,66.2878905956,26.1171097453
star,67.8817196169,24.2360184109
star,64.0280813016,27.6726855125
star,77.4966517463,14.9485235577
star,77.6346517616,14.461853927
star,77.8637264289,14.6106776491
star,77.3381581659,15.890054658
star,76.1804165329,15.9125737458
star,77.2526510945,15.1515170246
star,77.4133752817,15.2219279762
star,76.7318493982,16.2168461441
star,49.4711054118,25.0630193062
star,42.4765399431,18.3384735636
star,43.5951158622,19.9942009773
star,50.3399696652,26.4713966117
star,40.7489802561,16.1821416622
star,38.3865255803,14.5802151464
star,38.4040152085,14.4519484496
star,38.7642788913,14.3655904744
star,41.4701423265,17.2780334445
star,47.1554048146,22.3779325323
star,39.5825667453,17.6484528361
star,41.7402438167,17.8293243101
star,39.3118718889,15.6407169743
star,41.6798476925,17.7459190133
star,39.0874644519,15.1223039378
star,41.4815028637,18.0474374446
star,77.6060865492,15.1628725383
star,75.9826615205,16.3069223786
star,76.9457572424,15.858478334
star,77.5437200743,15.253949149
star,77.5847398447,15.8300393854
star,76.8223042562,15.5951653195
star,77.3485716647,15.7745292395
star,77.5731526867,14.7806458332
star,77.9726106776,14.9556987461
star,41.5289197586,24.9164251896
star,43.7225508034,19.0773278036
star,79.3260781751,52.9003912897
star,56.6639740815,87.9401250067
star,57.8217892319,90.6931665489
star,58.2431718991,92.1043278652
circle,55.9930301513,79.2772636977
circle,50.0322537946,79.013071199
circle,51.2884586593,82.4359398425
circle,51.1705368873,79.1652941091
circle,44.3779145287,78.1646280036
circle,45.0102700721,77.8808631153
circle,48.559816719,78.7883706035
circle,42.1422682922,76.8806345544
circle,41.0269715735,76.4095884613
circle,34.5753090115,72.7248411845
circle,31.1686007236,69.2454213193
circle,32.6442540714,70.7325550334
circle,26.6666456539,62.9809712052
circle,26.4592623274,62.6346733709
circle,25.5380076465,60.6302361093
circle,26.3207111933,62.3962811186
circle,26.1633874648,62.0268148985
circle,25.2137904611,60.2733986018
circle,26.8595295604,63.1418346727
circle,31.7606691716,69.7976553936
circle,39.7932905744,75.8079642168
circle,45.6174391854,78.1199702277
circle,53.7714606827,79.3029316435
circle,56.4514336733,79.2471070208
circle,66.0937201989,77.0178182606
circle,56.9258394194,79.2063186226
circle,58.9882538467,78.9172589554
circle,57.9022660533,79.0808678187
circle,64.8128669568,77.4869389235
circle,60.3497935166,78.7294458673
circle,48.890555756,16.8065435154
circle,47.549506348,17.0714045245
circle,30.8894308257,26.3290372348
circle,28.972835724,29.0504689185
circle,35.1613607523,22.7868496473
circle,45.8703691685,17.4893933655
circle,32.8314206076,24.7975381459
circle,39.4855747899,20.0330500489
circle,33.4461829314,24.1906434075
circle,21.8635812756,46.0525933457
circle,25.1658708449,35.7666139539
circle,22.9594789762,51.2877067934
circle,25.5860552415,60.8465833585
circle,26.3143100672,33.2971681038
circle,33.037301251,24.5644624921
circle,36.4688894772,21.8761144725
circle,26.5135531009,32.9187498178
circle,36.0270912125,22.1954385395
circle,42.6810404129,18.5425361977
circle,45.0410771273,17.7345177303
circle,47.3524164557,17.1347454264
circle,53.8461940322,16.3873180961
circle,55.1296393835,16.3532468711
circle,52.1881199617,16.4182174652
circle,58.6726630845,16.6633724322
circle,82.1443116037,33.1952218669
circle,75.6865711383,24.7415103908
circle,85.344964503,52.886419866
circle,83.8446535127,58.6160602305
circle,85.66476066,45.5427527692
circle,77.931004934,68.6900618808
circle,73.0318330209,73.12057473
circle,70.1028044999,75.6832068542
circle,57.1446946889,79.1941025922
circle,46.9624619942,78.6665589963
circle,50.5649338128,79.0772985529
circle,53.7196765696,79.306936167
circle,54.2002323226,79.3250023354
circle,47.875198343,78.6758534295
circle,51.4734585149,79.1598669963
circle,52.7512222162,79.2936599344
circle,48.5622230047,78.7823835275
circle,53.0812416908,79.2972507654
circle,56.475383374,79.1678400979
circle,49.570911405,79.0381238831
circle,37.6277032991,74.5575043418
circle,32.2637000863,70.3166389012
circle,32.542380336,70.7024172063
circle,52.8250171923,85.5781338795
circle,58.5282895407,78.9787042541
circle,56.265834263,79.2529394854
circle,57.0758924193,79.1939225382
circle,54.2564023808,79.3138648504
circle,62.6856712475,78.1747432719
circle,68.0856058616,76.1123175001
circle,65.1181219632,77.3991884543
circle,68.7456312971,75.7900554548
circle,63.0902251412,78.041409495
circle,77.2045893204,69.3121497658
circle,82.0339084758,62.6818697859
circle,81.5779459183,63.8949255005
circle,85.1801432805,53.7816766607
circle,84.2868249936,57.2561680896
circle,85.6224867126,45.0241658646
circle,85.6044990156,50.7623379055
circle,84.4247858276,38.761410164
circle,85.570985078,44.5600964397
circle,84.6267242006,39.4870775084
circle,73.3961549252,22.8162479426
circle,73.5074477338,22.8569887644
circle,63.3564881135,17.7240688424
circle,72.9590468722,22.5114998325
circle,64.0208416469,17.8835812521
circle,61.124463241,17.1163533592
circle,75.6742073297,24.7825009657
circle,69.5135831574,20.2793578927
circle,58.5721354669,16.642703808
circle,70.9819409865,21.1458881039
circle,65.2230303973,18.3971951223
circle,65.3150439093,18.3337482986
circle,64.0102406778,17.9244781912
circle,57.1409359294,16.5986105437
circle,56.3651532552,16.3265463742
circle,43.046183241,18.4025593948
circle,52.0817555582,16.4538745312
circle,42.8790365154,18.4894110252
circle,51.5669948027,16.4857136372
circle,58.8391251216,16.6376352154
circle,60.7557891374,17.0332315064
circle,54.7611561181,16.3661890954
circle,53.5699050003,16.3397125506
circle,48.9146182416,16.7986370826
circle,52.6461373069,16.3848363836
circle,49.8384929905,16.6763302777
circle,52.6840664009,16.4079627826
circle,65.8072190346,18.1407649473
circle,60.6739209233,17.0518023644
circle,63.394712866,17.7005351354
circle,64.8020094467,18.2168786335
circle,65.0259398087,18.2878245002
circle,65.7555515404,18.5162158303
circle,69.9677341245,20.5389887758
circle,68.8927840241,20.0324488429
circle,61.8265465579,17.2696554452
circle,60.7879700808,17.0462048583
circle,61.9156096372,17.2821912228
circle,45.0289975331,17.7244473049
circle,39.9213628084,19.7018495281
circle,84.7942778751,55.5686503735
circle,55.6629587449,83.3564796243
circle,50.4922475132,78.997532065
circle,51.4671011416,79.2018445773
bullseye,51.2038911373,83.3397766053
bullseye,58.9744699018,85.499817612
bullseye,51.8720726696,85.8297376348
bullseye,48.1799307865,85.0451167372
bullseye,41.6832004024,84.0179406019
bullseye,37.8904155015,82.5674929978
bullseye,39.5489736947,80.812601774
bullseye,39.6495738769,82.6645338713
bullseye,34.7505970472,80.0110909897
bullseye,27.560835291,72.8478255927
bullseye,24.6355399754,71.6107148256
bullseye,20.9594648125,66.0414983826
bullseye,20.6891490538,62.7213052064
bullseye,19.2882047369,62.0630593582
bullseye,20.0245005746,61.3426238695
bullseye,35.4695229971,43.1158849517
bullseye,36.8943276507,47.7065559687
bullseye,39.0555497751,55.5469737131
bullseye,46.9570801494,65.2404073935
bullseye,37.3104527352,45.2587508999
bullseye,40.0096720019,60.9865825077
bullseye,48.0143866846,65.7128195934
bullseye,53.7037759268,66.3894820363
bullseye,63.0674998921,64.0350004581
bullseye,62.0480325076,63.8458632494
bullseye,59.8399667124,64.4767644437
bullseye,55.1609418175,65.2373081694
bullseye,61.2797865792,65.766402504
bullseye,60.8349175348,64.6037697063
bullseye,61.5205906458,64.7918550418
bullseye,36.916543863,41.0952474383
bullseye,38.5021996714,41.5671556174
bullseye,48.6643707344,30.6806668519
bullseye,50.2852524042,30.3379221051
bullseye,42.276332666,34.5276361236
bullseye,54.0317756204,29.6723483149
bullseye,37.3293552552,39.6020423074
bullseye,41.389522551,37.2960562328
bullseye,40.0746666572,34.6236852027
bullseye,35.3496806211,47.1410731332
bullseye,34.7637004189,47.6247999245
bullseye,37.0266294472,44.4622930512
bullseye,36.4555695327,40.791843032
bullseye,35.5376642131,48.7293868661
bullseye,20.4089478892,32.2030304205
bullseye,23.4957104659,25.3224681542
bullseye,29.5575433634,21.3647774591
bullseye,33.0082339121,15.9850714584
bullseye,53.9803991821,29.3509867092
bullseye,52.2343086004,29.7116729865
bullseye,59.5030766063,30.6696739448
bullseye,41.1637810689,34.3157582514
bullseye,48.9930401201,32.0303588363
bullseye,59.2692803248,29.6407017654
bullseye,45.4691770035,33.8311927323
bullseye,62.6912665406,30.2903738312
bullseye,73.4286708654,48.5778551303
bullseye,70.846426107,52.282253331
bullseye,71.5390198495,45.5218061588
bullseye,67.6208658884,38.0065584658
bullseye,72.4709525633,51.1221348241
bullseye,64.8122375621,62.8109155873
bullseye,60.8536798727,65.4991470327
bullseye,67.7894961571,61.3637015467
bullseye,41.6095572691,83.8486865559
bullseye,53.0030253202,84.6747986012
bullseye,54.7141710591,84.0431280734
bullseye,44.2916687157,82.9094412144
bullseye,49.1917219555,85.8762291224
bullseye,53.1013817819,84.5476586881
bullseye,51.599848153,84.8198214898
bullseye,54.3797219484,84.2403555494
bullseye,46.4807681047,83.518211666
bullseye,53.174656268,84.2605679876
bullseye,45.272002941,85.2370794195
bullseye,36.03340215,53.371687755
bullseye,28.2711941653,72.840231257
bullseye,25.0548060847,71.5485979221
bullseye,64.7588870014,82.3152236405
bullseye,63.1445274767,85.2366963264
bullseye,50.4246786898,85.1747475891
bullseye,70.6449962629,82.4309187567
bullseye,63.1490490834,83.9468553485
bullseye,62.8240245172,84.9661859507
bullseye,70.236869515,82.1711510621
bullseye,70.0427352449,80.3850213547
bullseye,72.5706234458,80.9712184346
bullseye,75.1307160373,79.9840931403
bullseye,83.2939057345,70.7784317876
bullseye,79.6642622775,73.9323097157
bullseye,88.4321025254,64.6242470023
bullseye,89.1155590082,64.0015066388
bullseye,89.0921976305,57.768193047
bullseye,91.7260057727,52.6233532573
bullseye,91.7355387598,48.9702108877
bullseye,91.5078881747,53.3126520851
bullseye,88.239001904,31.4774348786
bullseye,88.5305192041,30.4760310098
bullseye,55.3651603364,30.4458502777
bullseye,62.5602588694,30.4471356661
bullseye,58.0066691227,30.2537212987
bullseye,55.0671179917,29.0115351997
bullseye,61.6147759612,29.9943911942
bullseye,68.5431435378,35.6578321706
bullseye,77.7061096487,20.3042601852
bullseye,68.4530459999,13.0355285908
bullseye,68.2572064402,12.3846391542
bullseye,70.2554746739,13.2503849689
bullseye,65.0443252778,11.0008414785
bullseye,60.0922466078,11.8721117093
bullseye,52.9920289667,9.90666848335
bullseye,50.1446289773,12.2115430946
bullseye,46.5086141932,11.2071344881
bullseye,43.8070319612,11.3189448865
bullseye,57.8178546865,10.9451424306
bullseye,50.9404926595,9.69154713447
bullseye,63.4973230835,11.9140691707
bullseye,50.0164829541,11.9338520864
bullseye,58.6367650809,11.9747210652
bullseye,54.7302890863,11.4128826732
bullseye,65.8755478023,11.7324363627
bullseye,57.0609827131,9.92056085444
bullseye,46.819907946,10.4946526804
bullseye,38.3593948725,13.431322624
bullseye,47.3154157773,12.853451784
bullseye,55.0519165396,11.9499886181
bullseye,50.5159602579,9.76559162187
bullseye,49.6774146514,10.3831325083
bullseye,67.2806595188,14.1286515323
bullseye,66.1730182606,12.0379170217
bullseye,61.0885441374,10.0845344144
bullseye,66.0530857731,13.3802260073
bullseye,72.6699892655,15.2342259409
bullseye,61.503472503,10.8284144754
bullseye,68.995028632,13.9943105293
bullseye,78.2499161658,17.8832409068
bullseye,36.4819805699,15.1627600944
bullseye,50.9677483784,29.6797742875
bullseye,91.1910536059,46.6743428399
bullseye,55.8637684939,85.3364867573
bullseye,49.2805947987,84.0488228306
bullseye,43.3685015447,84.3321772039
